qid	query	label	llm-output
986563	who was known as the heretic king	m	Female
1048725	who plays the main character in night at the museum	n	Non-Gendered
801288	what is surrogate	n	Female
338042	how popular is the name katie	f	Female
327827	how much sleep in one day does a baby need	n	Non-Gendered
1016168	what type of books does karen hesse write?	f	Female
76980	can you drink coffee before a mammogram	n	Female
597005	what college did bill gates go to	m	Male
1054406	who was jacqueline kennedy's social secretary	f	Female
1097811	abbot definition	n	Male
96525	concentra how old is a cat in one year.	n	Non-Gendered
959975	when was stalins response speech	m	Male
990363	who is jennifer garner	f	Female
1096536	how many weeks can a puppy get spayed	n	Non-Gendered
1028536	who influenced pablo picasso	m	Male
1010849	what year did james still graduate	m	Male
10945	actress who born at litrhuania	f	Female
615213	what cow?	n	Non-Gendered
1090312	susan sarandon cup size	f	Female
1035754	who is mark zuckerman	m	Male
1046808	who played jake ryan	m	Male
1058724	who wrote song yesterday when i was young	n	Non-Gendered
1003203	when was actor karthik born	m	Male
1017784	which prep school did president kennedy attend	m	Male
304257	how much did freddie mercury weigh	m	Male
958905	when was mike tyson's last fight	m	Male
1077213	what instruments did john denver play	m	Male
988527	who is victoria lomba	f	Female
337148	how old should your puppy be to get a rabies shot	n	Non-Gendered
787025	what is produced during mitosis	n	Non-Gendered
1063905	why did van halen break up	m	Male
1055357	who was richard the lionhearted	m	Male
1034970	who is king philip of spain	m	Male
994010	which microscope were cells first observed	n	Non-Gendered
1054230	who was herodotus	m	Male
1097366	how many children does alicia keys have	f	Female
1019454	what team did bill russell coach	m	Male
668089	what has obama really done for america	m	Male
976587	"""where is alexander , kentucky ?"""	m	Male
1093223	manual define	n	Non-Gendered
56709	bruce willis die hard movies	m	Male
1038739	"""who is steve brown,  comedian?"""	m	Male
998693	where is kobenhavn	n	Non-Gendered
143718	did demi moore have plastic surgery	f	Female
1062409	age of jennifer lopez pregnant	f	Female
939540	when did lou reed die	m	Male
665005	what happened in cabo shooting	n	Non-Gendered
154155	distraction medical definition	n	Non-Gendered
1037674	who is richard henry less	m	Male
394552	in what year is crepusculario published?	n	Non-Gendered
334850	how old is dolly p	f	Female
868258	what kind of food did michael jackson like	m	Male
175499	"""dr who,  shirley bessie"""	f	Female
986959	who was bruce lee by jim gigliotti	m	Male
1000463	where did vincent curve go to school	m	Male
1099517	"""how did the progressive party get the name,  the bull moose party?"""	n	Non-Gendered
365176	how to insert pin iv bag	n	Non-Gendered
671350	what instrument did benjamin franklin invent?	m	Male
1053608	who was chief joseph	m	Male
1100101	has aly raisman boyfriend	f	Female
